lcd_id,lcd_version,meeting_id,meeting_date,"meeting_info",sort_order,last_updated
38787,7,1,2023-11-07 00:00:00,"<p>This policy will be presented at the open meeting at:</p>
<p><em>Marshall Women's Health and Education Center</em><br />4123 Dutchmans Lan<br />Plaza III &ndash; 1B &ndash; Suite 108<br />Louisville, KY 40207</p>",1,2023-10-02 13:11:14.400000000
38787,7,2,2023-11-08 00:00:00,"<p>This policy will be presented at:</p>
<p><em>OSU Wexner Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave.<br />Room 105 &ndash; 1st Floor<br />Columbus, Ohio 43210</p>",2,2023-10-02 13:11:14.403000000
39122,3,1,2021-10-20 00:00:00,"",1,2021-09-22 16:59:29.250000000
39647,3,1,2023-11-07 00:00:00,"<p>This policy will be presented at the open meeting :</p>
<p><em>Marshall Women's Health and Education Center<br /></em>4123 Dutchmans Lan<br />Plaza III &ndash; 1B &ndash; Suite 108<br />Louisville, KY 40207</p>
<p>Please review our website for additional information.</p>",1,2023-10-02 13:11:47.490000000
39647,3,2,2023-11-08 00:00:00,"<p>This policy will be presented at the open meeting :</p>
<p><em>OSU Wexner Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave.<br />Room 105 &ndash; 1st Floor<br />Columbus, Ohio 43210</p>
<p>Please review our website for additional information.</p>",2,2023-10-02 13:11:47.493000000
39657,4,1,2023-11-07 00:00:00,"<p>This policy will be presented at the open meeting :</p>
<p><em>Marshall Women's Health and Education Center<br /></em>4123 Dutchmans Lan<br />Plaza III &ndash; 1B &ndash; Suite 108<br />Louisville, KY 40207</p>
<p>Please review our website for additional information.</p>",1,2023-09-25 13:39:30.377000000
39657,4,2,2023-11-08 00:00:00,"<p>This policy will be presented at the open meeting :</p>
<p><em>OSU Wexner Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave.<br />Room 105 &ndash; 1st Floor<br />Columbus, Ohio 43210</p>
<p>Please review our website for additional information.</p>",2,2023-09-25 13:39:30.380000000
39667,9,1,2023-08-11 00:00:00,"<p>This open meeting is a meeting for MAC JH and JL.</p>
<p><strong>Location of Meeting:</strong></p>
<p>Teleconference Webinar Only</p>
<p><strong>Time of Meeting:</strong></p>
<p>10am ET</p>
<p>9am CT</p>
<p>8am MT</p>
<p><strong>Link to MAC Website:</strong></p>
<p>JL - <a href=""http://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707"" target=""_blank"" rel=""noopener"">http://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707 </a><br /><br />JH - <a href=""http://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708"" target=""_blank"" rel=""noopener"">http://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708 </a></p>",1,2023-07-21 14:44:18.293000000
39668,8,1,2023-08-10 00:00:00,"<p><strong>The open meeting is for MAC JN.</strong></p>
<p><strong>Location of Meeting:</strong></p>
<p>Teleconference/Webinar only</p>
<p><strong>Time of Meeting:</strong></p>
<p>10 am ET</p>
<p><strong>Link to JN website:</strong></p>
<p><span style=""line-height: 107%;""><a href=""https://medicare.fcso.com/Open_Public_Meeting/0458851.asp"">https://medicare.fcso.com/Open_Public_Meeting/0458851.asp </a></span></p>",1,2023-07-21 14:45:25.470000000
39677,3,1,2023-10-11 00:00:00,"<p>Teleconference</p>",1,2023-08-21 18:33:30.110000000
