lcd_id,lcd_version,sticky_note_version,"sticky_note",sticky_note_dt,sticky_note_posting_dt
33975,25,1,"Revision History #R7 should say that the LCD was revised not the article.",2021-07-28 10:58:59,2021-08-05 00:00:00
33977,18,1,"Note: In the “Explanation of Revision:” in Revision History Number R4 it was indicated that the addition of ICD-10-CM codes was based on a reconsideration request in error. This addition of the ICD-10-CM codes was based on an external correspondence.",2019-11-07 00:06:56,2019-11-14 00:00:00
36690,35,1,"This LC?D is scheduled to retire 12/31/2025 and we will not be making any changes in the interim.",2025-04-30 17:58:45,2025-05-08 00:00:00
38387,7,1,"The LCD has been revised during Notice to add “affecting the respiratory system” to the limitation for neuromuscular disease.<br />",2020-02-14 20:35:49,2020-02-20 00:00:00
39122,3,1,"Comments are only open for this addition “Coverage criteria expanded to include blood-based biomarker colorectal cancer screening test, positive, in compliance with revised NCD 210.3, Colorectal Cancer Screening Tests.”",2021-09-22 17:01:00,2021-09-30 00:00:00
39365,149,1,"Please note clarification to the Issues Description third paragraph below: <br />On 3/20/2025, a revision was made throughout LCD to change verbiage referring to gender. This update was made to the version of this LCD updated on 04/25/2025 and published on the Medicare Coverage Database on 05/01/2025.<br />",2025-05-07 14:24:26,2025-05-15 00:00:00
39367,41,1,"Please note clarification to the Issues Description third paragraph below: <br />On 3/20/2025, a revision was made throughout LCD to change verbiage referring to gender. This update was made to the version of this LCD updated on 04/25/2025 and published on the Medicare Coverage Database on 05/01/2025.<br />",2025-05-07 14:27:56,2025-05-15 00:00:00
39756,7,1,"The effective date for this policy has been moved to 01/01/2026.",2025-04-30 16:22:25,2025-05-08 00:00:00
39800,7,1,"Only the following clarifying language is open for official comment: ""Intraoperative TEE is reimbursable to a qualified cardiologist, cardiac surgeon, anesthesiologist, or other qualified physician, but only when performed as a significant, separately identifiable diagnostic test with a formal written report, and not for monitoring purposes.""",2024-05-21 10:13:43,2024-05-30 00:00:00
39873,7,1,"Only the use of serum and urine mass spectrometry (MS) in monoclonal gammopathies (MGs) is open for official comment.",2024-06-19 16:01:24,2024-06-27 00:00:00
39903,8,1,"Only the following revisions are open for official comment:<br />1.The use of the word dominant in the coverage indications has been removed from the following: Moderate to severe postural or intention tremor of the hand (defined by a score of =2 on the Clinical Rating Scale for Tremor (CRST)<br />2. The added indications for Bilateral Thalamotomy for Essential Tremor.<br />3. The added limitations for Bilateral thalamotomy for Parkinson’s Disease and Unilateral pallidotomy for Parkinson’s Disease.<br />4. The change of skull density ratio from <0.45 to <0.40.<br />",2024-06-20 20:20:40,2024-06-27 00:00:00
39943,4,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.727000000,2025-05-08 00:00:00
39945,5,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.730000000,2025-05-08 00:00:00
39947,3,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.730000000,2025-05-08 00:00:00
39949,3,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.733000000,2025-05-08 00:00:00
39963,6,1,"Only the updated genomic biomarkers and their clinical utility in acute myelogenous leukemia (AML), myelodysplastic syndromes (MDS), and myeloproliferative neoplasms (MPN) are open for official comment.",2024-09-23 12:37:42,2024-10-03 00:00:00
39978,7,1,"Only the off- label use of bevacizumab in hereditary hemorrhagic telangiectasia (HHT) with arteriovenous malformations (AVMs) causing gastrointestinal bleeding is open for official comment.<br /><br />",2024-09-25 15:18:01,2024-10-03 00:00:00
39983,8,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:19:17,2024-10-10 00:00:00
39996,7,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:21:50,2024-10-10 00:00:00
40003,3,1,"Only the specific genes (CYP2C19, CYP2C9 and CYP2D6) that have been transitioned to the new Pharmacogenomic Testing LCD are open for official comment.",2024-09-24 18:21:53,2024-10-03 00:00:00
40177,4,1,"Only the removal of ""voided volume greater than 125cc"" from the Indications of Coverage is open for official comment.",2025-05-05 10:57:58,2025-05-15 00:00:00
40180,6,1,"Only the uses of Rituximab for ANCA- Associated Vasculitis (AAV), IgG4-related pancreatitis, and Susac Syndrome are open for official comment. ",2025-05-05 11:39:18,2025-05-15 00:00:00
40181,8,1,"Only the off-label use of Intravenous Immune Globulin (IVIG) for Susac Syndrome is open for official comment.",2025-05-07 22:54:39,2025-05-15 00:00:00
