lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
32553,20,228,9,2,2024-10-29 11:31:49.207000000
32553,20,238,9,2,2024-10-29 11:31:49.207000000
32553,20,239,8,1,2024-10-29 11:31:49.207000000
32553,20,240,8,1,2024-10-29 11:31:49.207000000
33252,29,368,12,1,2020-06-19 22:52:07.913000000
33252,29,369,12,1,2020-06-19 22:52:07.913000000
33252,29,370,12,1,2020-06-19 22:52:07.913000000
33252,29,371,12,1,2020-06-19 22:52:07.913000000
33252,29,372,12,1,2020-06-19 22:52:07.913000000
33261,40,368,12,1,2021-05-21 14:22:14.300000000
33261,40,369,12,1,2021-05-21 14:22:14.300000000
33261,40,370,12,1,2021-05-21 14:22:14.300000000
33261,40,371,12,1,2021-05-21 14:22:14.300000000
33261,40,372,12,1,2021-05-21 14:22:14.300000000
33267,17,368,12,1,2019-11-21 23:30:59.287000000
33267,17,369,12,1,2019-11-21 23:30:59.287000000
33267,17,370,12,1,2019-11-21 23:30:59.287000000
33267,17,371,12,1,2019-11-21 23:30:59.287000000
33267,17,372,12,1,2019-11-21 23:30:59.287000000
33274,36,368,12,1,2021-01-29 16:06:51.883000000
33274,36,369,12,1,2021-01-29 16:06:51.883000000
33274,36,370,12,1,2021-01-29 16:06:51.883000000
33274,36,371,12,1,2021-01-29 16:06:51.883000000
33274,36,372,12,1,2021-01-29 16:06:51.883000000
33312,37,139,10,2,2025-03-25 18:07:02.747000000
33312,37,140,10,2,2025-03-25 18:07:02.747000000
33312,37,388,10,1,2025-03-25 18:07:02.747000000
33312,37,389,10,1,2025-03-25 18:07:02.747000000
33317,34,139,10,2,2025-03-27 12:50:40.197000000
33317,34,140,10,2,2025-03-27 12:50:40.197000000
33317,34,388,10,1,2025-03-27 12:50:40.197000000
33317,34,389,10,1,2025-03-27 12:50:40.197000000
33318,57,139,10,2,2025-01-08 18:05:04.017000000
33318,57,140,10,2,2025-01-08 18:05:04.017000000
33318,57,388,10,1,2025-01-08 18:05:04.017000000
33318,57,389,10,1,2025-01-08 18:05:04.017000000
33369,26,139,10,2,2020-02-28 20:03:20.573000000
33369,26,140,10,2,2020-02-28 20:03:20.573000000
33369,26,388,10,1,2020-02-28 20:03:20.573000000
33369,26,389,10,1,2020-02-28 20:03:20.573000000
33370,49,139,10,2,2023-12-07 15:38:17.037000000
33370,49,140,10,2,2023-12-07 15:38:17.037000000
33370,49,388,10,1,2023-12-07 15:38:17.037000000
33370,49,389,10,1,2023-12-07 15:38:17.037000000
33393,9,272,11,1,2023-11-07 22:08:52.930000000
33393,9,308,13,1,2023-11-07 22:08:52.930000000
33394,54,269,8,1,2025-05-22 13:38:26.790000000
33394,54,270,8,1,2025-05-22 13:38:26.790000000
33394,54,271,8,1,2025-05-22 13:38:26.790000000
33394,54,273,9,1,2025-05-22 13:38:26.790000000
33394,54,274,9,1,2025-05-22 13:38:26.790000000
33394,54,275,9,1,2025-05-22 13:38:26.790000000
33394,54,297,13,1,2025-05-22 13:38:26.790000000
33394,54,298,13,1,2025-05-22 13:38:26.790000000
33394,54,299,13,1,2025-05-22 13:38:26.790000000
33394,54,300,13,1,2025-05-22 13:38:26.790000000
33394,54,301,13,1,2025-05-22 13:38:26.790000000
33394,54,302,13,1,2025-05-22 13:38:26.790000000
33394,54,303,13,1,2025-05-22 13:38:26.790000000
33394,54,304,13,1,2025-05-22 13:38:26.790000000
33394,54,305,13,1,2025-05-22 13:38:26.790000000
33394,54,306,13,1,2025-05-22 13:38:26.790000000
33394,54,307,13,1,2025-05-22 13:38:26.790000000
33394,54,309,13,1,2025-05-22 13:38:26.790000000
33394,54,310,13,1,2025-05-22 13:38:26.790000000
33394,54,311,13,1,2025-05-22 13:38:26.790000000
33394,54,312,13,1,2025-05-22 13:38:26.790000000
33394,54,313,13,1,2025-05-22 13:38:26.790000000
33396,10,269,8,1,2019-10-18 14:28:57.443000000
33396,10,270,8,1,2019-10-18 14:28:57.443000000
33396,10,271,8,1,2019-10-18 14:28:57.443000000
33396,10,273,9,1,2019-10-18 14:28:57.443000000
33396,10,274,9,1,2019-10-18 14:28:57.443000000
33396,10,275,9,1,2019-10-18 14:28:57.443000000
33396,10,297,13,1,2019-10-18 14:28:57.443000000
33396,10,298,13,1,2019-10-18 14:28:57.443000000
33396,10,299,13,1,2019-10-18 14:28:57.443000000
33396,10,300,13,1,2019-10-18 14:28:57.443000000
